Property_Type,Energy_Rating,Energy_Score,Gross_Floor_Area_Buildings_SQ_FT,No_of_Buildings,Electricity_Use_kBtu,Natural_Gas_Use_kBtu,District_Steam_Use_kBtu,District_Chilled_Water_Use_kBtu,Site_EUI_kBtu_per_sq_ft,Source_EUI_kBtu_per_sq_ft,Weather_Normalized_Site_EUI_kBtu_per_sq_ft,Weather_Normalized_Source_EUI_kBtu_per_sq_ft,Total_GHG_Emissions_Metric_Tons_CO2e,GHG_Intensity_kg_CO2e_per_sq_ft
Multifamily Housing,3.5,77,583000,10,10509123.8,40535471,0,0,87.6,123.5,93.4,128.3,3654,6.3
Multifamily Housing,1,1,50000,1,3793680,5355720.6,0,0,183,324.9,180.2,317.1,826.3,16.5
Multifamily Housing,4,87,184432,1,2223051.4,7694486.9,0,0,61.1,88.1,66.1,92.1,726.2,4.5
Office,3,64,1164458,1,73501679.3,0,0,0,78.2,219.1,78.2,219.1,10498,11.2
Office,4,84,1559956,1,66045572.2,0,0,35227305.7,64.9,139.1,62.4,136.8,11289.6,7.2
Office,3.5,77,1095104,1,29353504.2,33566969.4,0,0,57.5,107.2,60.7,110.7,5975.4,5.5
Office,4,81,1246961,1,46067186.2,0,0,0,37.8,105.9,38.2,106.9,6579.6,5.4
Office,3,70,871962,1,42267037.1,501611.4,0,0,49,136.3,50.9,141.5,6063.5,7
Office,3,66,901459,1,56164386.1,0,0,0,63.9,178.9,65.5,183.5,8021.8,9.1
Office,3.5,78,1073992,1,43136858.3,668274.1,0,0,42.6,118.1,43.6,120.8,6197.1,6
Office,3.5,76,757990,1,34422132.6,0,0,0,45.4,127.2,47.3,132.4,4916.4,6.5
Office,2.5,51,4600624,1,325324237,27896367.8,0,0,77.9,207.3,78.8,208.2,47946.6,10.6
Hospital (General Medical & Surgical),4,77,1287909,1,113687260,161351087.8,0,0,215.1,380.2,218.3,380.9,24951.7,19.4
Hospital (General Medical & Surgical),4,65,945000,1,86055519.2,107165997.5,0,0,204.5,374.1,206.4,373,17983.1,19
Hotel,3.5,55,353000,1,14885771.2,21058501.1,0,0,101.8,180.7,105.5,184.6,3244.6,9.2
Office,3.5,76,962120,1,35354529.8,762790,0,20861003.5,60.1,125.3,59.3,127.2,6189.5,6.5
Office,3.5,71,622779,1,19890625.9,19096653.1,0,0,69.3,134.6,71.1,136.5,3855.2,6.9
Hospital (General Medical & Surgical),1,11,1596300,4,173837373.8,323058061.3,0,0,311.3,517.4,317.4,520.6,41987.8,26.3
Office,1,29,540618,1,12687300.2,80154574.7,0,0,179.2,231,196.8,249.4,6069.5,11.7
Office,4,81,554777,1,11849869.2,20903133.8,0,0,59,99.4,63.6,104.1,2802.7,5.1
Office,4,71,477171,1,13430785.3,24031082.3,0,1168632,81,133.9,87.1,140.4,3256.3,6.8
Office,3.5,76,859786,1,21818218.2,22096230.8,0,17614031.6,71.6,116.7,72.4,117.9,5218.1,6.1
Office,3,69,698645,1,37178243.8,0,0,0,53.2,149,54.2,151.9,5310,7.6
Office,3.5,75,1155969,1,35488450.8,424140,0,0,57.5,159.8,59.5,165.2,5091.2,8.1
Office,3,61,1547120,1,37324823.4,69349344.6,0,20751216.1,82.4,126.8,85.7,130.6,10108,6.5
Office,4,100,1237300,1,28160959.1,194585.1,0,0,22.9,63.9,0,0,4032.5,3.3
Office,4,67,1883966,1,94963773.5,3860,0,28655408.3,65.6,155,65.4,157.3,15073.7,8
Multifamily Housing,4,94,81561,1,738916,2715,4781969.8,0,67.7,95.9,73.6,103.3,423.2,5.2
Mixed Use Property,2.5,54,1047675,1,51657611.8,0,0,0,50.8,142.1,52.5,147.1,7378.1,7.2
Office,3.5,79,1513050,1,60365957,1046980.6,0,0,41.3,114.4,43.6,120.8,8677.5,5.8
Residence Hall/Dormitory,3.5,54,113750,1,2675113.1,10195780.6,0,0,113.2,160,126.6,174.1,923.6,8.1
